key,message,comment,context
Region,地域,,
"Rejection of calls",着信拒否,,
"Rejection of e-mails",電子メールの拒否,,
"Related to",関連,,
"Related to select",選択に関連,,
Reminded,削除済み,,
Reminder,リマインダ,,
"Reminder Templates",アラームテンプレート,,
"Reminder(s) treated",処理されたリマインダ,,
Reminders,リマインダ,,
"Repeat every",繰り返し間隔,,
"Repeat every:",繰り返し間隔:,,
"Repeat the:",次の手順を繰り返します,,
"Repetitions number",繰り返し数,,
Reported,報告済み,,
Reportings,レポート,,
Reports,報告,,
"Required participant",必須参加者,,
Sa,サ,,
"Sale quotation",売買相場,,
"Sale quotations/orders",見積/受注,,
"Sales Stage",セールス・ステージ,,
"Sales orders amount won historical",受注金額取得履歴,,
"Sales orders amount won target completed (%)","受注額目標達成率 (%)",,
"Sales orders created number historical",受注作成No.履歴,,
"Sales orders created number target completed (%)","受注作成数ターゲット完了 (%)",,
"Sales orders created won historical",受注が作成された取得価額履歴,,
"Sales orders created won target completed",受注が作成され、目標を達成しました,,
"Sales orders created won target completed (%)","作成された受注は目標を達成しました (%)",,
"Sales stage",販売段階,,
Salesperson,営業担当者,,
"Schedule Event",スケジュールイベント,,
"Schedule Event (${ fullName })","スケジュール・イベント (${fullName})",,
"Schedule Event(${ fullName})","スケジュール・イベント (${fullName})",,
"Select Contact",連絡先の選択,,
"Select Partner",パートナーの選択,,
"Select existing contact",既存の連絡先を選択,,
"Select existing partner",既存のパートナーの選択,,
"Send Email",電子メールを送信,,
"Send email",電子メールの送信,,
"Sending date",送信日,,
Settings,設定,,
"Show Partner",パートナーの表示,,
"Show all events",すべてのイベントを表示,,
"Some user groups",一部のユーザーグループ,,
Source,ソース,,
"Source description",ソースの説明,,
Start,開始,,
"Start date",開始日,,
"Starting date",開始日,,
State,州,,
Status,ステータス,,
"Status description",ステータスの説明,,
Su,蘇,,
"Take charge",担当,,
Target,ターゲット,,
"Target User Dashboard",ターゲットユーザーダッシュボード,,
"Target batch",ターゲットバッチ,,
"Target configuration",ターゲット構成,,
"Target configurations",ターゲット構成,,
"Target page",ターゲットページ,,
"Target team Dashboard",ターゲットチームダッシュボード,,
"Target vs Real",ターゲット対リアル,,
"Targets configurations",ターゲット構成,,
Task,タスク,,
"Task reminder template",タスクの事前通知テンプレート,,
Tasks,タスク,,
"Tasks filters",タスクフィルタ,,
Team,チーム,,
Th,チ,,
"The end date must be after the start date",終了日は開始日より後でなければなりません,,
"The number of repetitions must be greater than 0",繰り返しの数は0より大きくなければなりません,,
Title,タイトル,,
"To Date",日付:至,,
Tools,ツール,,
"Trading name",商号,,
"Treated objectives reporting",処理された目標のレポート,,
Tu,トゥ,,
Type,種類,,
"Type of need",ニーズのタイプ,,
"UID (Calendar)","UID (カレンダ)",,
"Unassigned Leads",未割当引合,,
"Unassigned Opportunities",未割り当てのOpportunity,,
"Unassigned opportunities",未割り当てのオポチュニティ,,
"Upcoming events",今後のイベント,,
Urgent,緊急,,
User,ユーザー,,
"User %s does not have an email address configured nor is it linked to a partner with an email address configured.",ユーザー%sには電子メールアドレスが設定されていません。また、電子メールアドレスが設定されているパートナーにリンクされていません,,
"User %s must have an active company to use templates",ユーザー%sがテンプレートを使用するには、アクティブな会社が必要です,,
Validate,検証,,
We,私たち,,
Website,Webサイト,,
Weekly,毎週,,
Weeks,週,,
Win,勝利,,
"Worst case",最悪のケース,,
Years,年,,
"You don't have the rights to delete this event",このイベントを削除する権限がありません,,
"You must choose a recurrence type",定期的なアイテムの種類を選択してください,,
"You must choose at least one day in the week",1週間に少なくとも1つの曜日を選択する必要があります,,
amount,金額,,
com.axelor.apps.crm.job.EventReminderJob,comcom.axelor.apps.crm.service.batch.CrmBatchService,,,
crm.New,新規作成,,
date,日付,,
"every week's day",毎週,,
everyday,毎日,,
"fri,",,,
http://www.url.com,http://www.url.com,,
important,重要な,,
"mon,",,,
on,オン,,
portal.daily.team.calls.summary.by.user,ポータル。毎日。チーム。呼び出し。要約。による。ユーザー,,
"sat,",,,
success,成功,,
"sun,",,,
"thur,",,,
"tues,",,,
"until the",まで,,
value:CRM,値:CRM,,
warning,警告,,
"wed,",,,
whatever@example.com,whatever@example.com,,
www.url.com,www.url.com,,
am.calls.summary.by.user,ポータル。毎日。チーム。呼び出し。要約。による。ユーザー,,
"sat,",,,
success,成功,,
"sun,",,,
"thur,",,,
"tues,",,,
"until the",まで,,
value:CRM,値:CRM,,
warning,警告,,
"wed,",,,
whatever@example.com,whatever@example.com,,
www.url.com,www.url.com,,
